format_group,bid_result,requests_est,reason_label,pct
Bizboard (ib),NO_WINNER,2612600000.0,No winner,41.71746565035718
Bizboard (ib),THROTTLED_SHORT_TERM_USER_PROFILE,2279900000.0,Throttled: VBT,36.40497968929393
Bizboard (ib),BID,858300000.0,BID (placed),13.705159904961176
Bizboard (ib),THROTTLED_BY_EXCHANGE_INCREMENTALITY_EXP,124000000.0,Throttled: incr. exp.,1.98000679041732
Bizboard (ib),TIME_OUT,105000000.0,Timeout,1.6766186531759562
Bizboard (ib),UPT_READ_ERROR,96800069.0,Other,1.5456838220392348
Bizboard (ib),THROTTLED_PROBABILISTICALLY,88500000.0,Throttled: probabilistic,1.4131500076768775
Bizboard (ib),THROTTLED_BID_CAP,70400000.0,Throttled: bid interval capper,1.1241328874627365
Bizboard (ib),THROTTLED_CONFIG_SERVER_REGION,16000000.0,Other,0.2554847471506219
Bizboard (ib),NO_CAMPAIGN_AFTER_REQ_FILTER,3500000.0,No campaign (req filter),0.05588728843919855
Bizboard (ib),THROTTLED_BOOTUP,3000000.0,Throttled: bootup,0.04790339009074161
Bizboard (ib),THROTTLED_EXPIRED_IN_REQUEST_QUEUE,2200000.0,Other,0.03512915273321052
Bizboard (ib),BID_SNAPSHOT_DEADLINE_EXCEEDED,1000000.0,Other,0.01596779669691387
Bizboard (ib),CONTEXT_TIMED_OUT,500000.0,Other,0.007983898348456935
Bizboard (ib),THROTTLED_EVENTFNT_DOWN,500000.0,Other,0.007983898348456935
Bizboard (ib),CONFIGURED_NO_BID,300000.0,Other,0.004790339009074161
Bizboard (ib),INVALID_BID_REQUEST,100000.0,Other,0.001596779669691387
Bizboard (ib),TARGET_BID_NO_ACTIVE_TEST_CASE,4716.0,Other,7.530412922264582e-05
Native (ni+nl),BID,968700000.0,BID (placed),48.0719993434934
Native (ni+nl),THROTTLED_SHORT_TERM_USER_PROFILE,660300000.0,Throttled: VBT,32.767565981737064
Native (ni+nl),NO_WINNER,108000000.0,No winner,5.359529192832959
Native (ni+nl),THROTTLED_BID_CAP,98100000.0,Throttled: bid interval capper,4.868239016823271
Native (ni+nl),TIME_OUT,78200000.0,Timeout,3.8806961377734948
Native (ni+nl),THROTTLED_BY_EXCHANGE_INCREMENTALITY_EXP,39800000.0,Throttled: incr. exp.,1.9750857580995536
Native (ni+nl),THROTTLED_PROBABILISTICALLY,33900000.0,Throttled: probabilistic,1.6822966633059009
Native (ni+nl),UPT_READ_ERROR,20600030.0,Other,1.022282057020692
Native (ni+nl),THROTTLED_CONFIG_SERVER_REGION,3700000.0,Other,0.18361350012483288
Native (ni+nl),NO_CAMPAIGN_AFTER_REQ_FILTER,1200000.0,No campaign (req filter),0.05955032436481066
Native (ni+nl),THROTTLED_BOOTUP,1000000.0,Throttled: bootup,0.04962527030400888
Native (ni+nl),BID_SNAPSHOT_DEADLINE_EXCEEDED,800000.0,Other,0.03970021624320711
Native (ni+nl),THROTTLED_EXPIRED_IN_REQUEST_QUEUE,400000.0,Other,0.019850108121603555
Native (ni+nl),THROTTLED_EVENTFNT_DOWN,400000.0,Other,0.019850108121603555
Native (ni+nl),TARGET_BID_NO_ACTIVE_TEST_CASE,2344.0,Other,0.00011632163359259682
