hour_utc,campaign_id,impressions,avg_win_price_usd,p50_win_price_usd,p90_win_price_usd
2026-03-26 06:00:00,BhTo5PHbtcsuQwkh,1,0.000012,0.000012,0.000012
2026-03-26 07:00:00,BhTo5PHbtcsuQwkh,10,0.00003250,0.000013,0.000087
2026-03-26 07:00:00,VveaqT1OAcxlbXSv,25,0.00017024,0.000079,0.000619
2026-03-26 08:00:00,BhTo5PHbtcsuQwkh,49,0.00002700,0.000012,0.000032
2026-03-26 08:00:00,VveaqT1OAcxlbXSv,53,0.00018828,0.000102,0.000366
2026-03-26 09:00:00,BhTo5PHbtcsuQwkh,161,0.00002075,0.000012,0.000024
2026-03-26 09:00:00,VveaqT1OAcxlbXSv,81,0.00048000,0.000049,0.000932
2026-03-26 10:00:00,BhTo5PHbtcsuQwkh,751,0.00027567,0.000012,0.000045
2026-03-26 10:00:00,VveaqT1OAcxlbXSv,669,0.00140489,0.000083,0.000771
2026-03-26 11:00:00,BhTo5PHbtcsuQwkh,5579,0.00028162,0.000015,0.000099
2026-03-26 11:00:00,VveaqT1OAcxlbXSv,32799,0.00065431,0.000183,0.000573
2026-03-26 12:00:00,BhTo5PHbtcsuQwkh,29844,0.00052706,0.000040,0.000386
2026-03-26 12:00:00,VveaqT1OAcxlbXSv,91338,0.00063923,0.000215,0.000608
2026-03-26 13:00:00,BhTo5PHbtcsuQwkh,53199,0.00100132,0.000067,0.001022
2026-03-26 13:00:00,VveaqT1OAcxlbXSv,97965,0.00062719,0.000186,0.000581
2026-03-26 14:00:00,BhTo5PHbtcsuQwkh,48258,0.00103584,0.000063,0.001055
2026-03-26 14:00:00,VveaqT1OAcxlbXSv,121748,0.00052633,0.000184,0.000574
2026-03-26 15:00:00,BhTo5PHbtcsuQwkh,30883,0.00157227,0.000066,0.004556
2026-03-26 15:00:00,VveaqT1OAcxlbXSv,149192,0.00056143,0.000195,0.000595
2026-03-26 16:00:00,BhTo5PHbtcsuQwkh,21609,0.00142268,0.000055,0.002904
2026-03-26 16:00:00,VveaqT1OAcxlbXSv,136468,0.00052044,0.000189,0.000580
2026-03-26 17:00:00,BhTo5PHbtcsuQwkh,12800,0.00234640,0.000068,0.007142
2026-03-26 17:00:00,VveaqT1OAcxlbXSv,120807,0.00069476,0.000149,0.000564
2026-03-26 18:00:00,BhTo5PHbtcsuQwkh,8342,0.00216589,0.000072,0.006472
2026-03-26 18:00:00,VveaqT1OAcxlbXSv,116645,0.00069901,0.000137,0.000538
2026-03-26 19:00:00,BhTo5PHbtcsuQwkh,6879,0.00241213,0.000102,0.007383
2026-03-26 19:00:00,VveaqT1OAcxlbXSv,133726,0.00061150,0.000129,0.000522
2026-03-26 20:00:00,BhTo5PHbtcsuQwkh,7726,0.00259095,0.000148,0.007613
2026-03-26 20:00:00,VveaqT1OAcxlbXSv,143346,0.00058195,0.000124,0.000510
2026-03-26 21:00:00,BhTo5PHbtcsuQwkh,12260,0.00239492,0.000238,0.007163
2026-03-26 21:00:00,VveaqT1OAcxlbXSv,156495,0.00067350,0.000124,0.000529
2026-03-26 22:00:00,BhTo5PHbtcsuQwkh,19008,0.00204264,0.000198,0.006615
2026-03-26 22:00:00,VveaqT1OAcxlbXSv,136948,0.00076935,0.000131,0.000544
2026-03-26 23:00:00,BhTo5PHbtcsuQwkh,22839,0.00168837,0.000112,0.005848
2026-03-26 23:00:00,VveaqT1OAcxlbXSv,143465,0.00081150,0.000127,0.000558
2026-03-27 00:00:00,BhTo5PHbtcsuQwkh,20290,0.00162590,0.000100,0.005257
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,139528,0.00083538,0.000122,0.000551
2026-03-27 01:00:00,BhTo5PHbtcsuQwkh,25912,0.00152811,0.000097,0.004827
2026-03-27 01:00:00,VveaqT1OAcxlbXSv,143765,0.00074106,0.000119,0.000522
2026-03-27 02:00:00,BhTo5PHbtcsuQwkh,25429,0.00135276,0.000081,0.003711
2026-03-27 02:00:00,VveaqT1OAcxlbXSv,141436,0.00082682,0.000117,0.000518
2026-03-27 03:00:00,BhTo5PHbtcsuQwkh,29465,0.00184448,0.000119,0.005806
2026-03-27 03:00:00,VveaqT1OAcxlbXSv,133452,0.00107430,0.000139,0.000623
2026-03-27 04:00:00,BhTo5PHbtcsuQwkh,25296,0.00140851,0.000086,0.004155
2026-03-27 04:00:00,VveaqT1OAcxlbXSv,63832,0.00140482,0.000189,0.000790
2026-03-27 05:00:00,BhTo5PHbtcsuQwkh,31608,0.00136595,0.000079,0.003500
2026-03-27 05:00:00,VveaqT1OAcxlbXSv,46498,0.00129307,0.000188,0.000821
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,35097,0.00141414,0.000084,0.003740
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,28089,0.00144089,0.000199,0.000898
2026-03-27 07:00:00,BhTo5PHbtcsuQwkh,29019,0.00122209,0.000076,0.002926
2026-03-27 07:00:00,VveaqT1OAcxlbXSv,17041,0.00152909,0.000192,0.000926
2026-03-27 08:00:00,BhTo5PHbtcsuQwkh,31719,0.00136819,0.000089,0.004006
2026-03-27 08:00:00,VveaqT1OAcxlbXSv,19528,0.00140874,0.000227,0.000939
2026-03-27 09:00:00,BhTo5PHbtcsuQwkh,33197,0.00155462,0.000101,0.004840
2026-03-27 09:00:00,VveaqT1OAcxlbXSv,13891,0.00198070,0.000273,0.001250
2026-03-27 10:00:00,BhTo5PHbtcsuQwkh,31487,0.00138754,0.000078,0.003783
2026-03-27 10:00:00,VveaqT1OAcxlbXSv,20811,0.00165275,0.000291,0.001060
2026-03-27 11:00:00,BhTo5PHbtcsuQwkh,38028,0.00147026,0.000080,0.003966
2026-03-27 11:00:00,VveaqT1OAcxlbXSv,30817,0.00151566,0.000286,0.000998
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,39518,0.00143012,0.000070,0.003879
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,47151,0.00136917,0.000266,0.000910
2026-03-27 13:00:00,BhTo5PHbtcsuQwkh,31380,0.00145744,0.000066,0.003853
2026-03-27 13:00:00,VveaqT1OAcxlbXSv,49184,0.00116839,0.000236,0.000850
