campaign_id,mmp_bundle_id,pa_score_v1,pa_score_v2,overall_v1,overall_v2
A2u2XD7eO307Trgq,com.actgames.HelloKittyMDS,0.0,100.0,33.33,66.67
AmI7ltF4zsvdJJCV,com.adobe.Adobe-Reader,0.0,100.0,63.72,97.06
ArBz45CDQ4QNGNHg,6755577882,0.0,100.0,33.33,66.67
AyMsefbowI7OQbAS,com.actgames.HelloKittyMDS,0.0,100.0,33.33,66.67
BQbaQXWlPxAoygOI,id959841449,0.0,100.0,33.33,66.67
ChmqRGLwAUbBXGgk,6754370732,0.0,100.0,33.33,66.67
Diu2uX4AVFN18O3X,com.actgames.HelloKittyMDS,0.0,100.0,33.33,66.67
DoznJeXNVcKmQMWn,kr.kbsec.iplustar,0.0,100.0,33.33,66.67
F613yBGHzPiiOdny,com.team42.Mafia42,0.0,100.0,33.33,66.67
GRxKUaIimNAgSzD3,com.shopback.ShopBack,0.0,100.0,65.1,98.43
GSbhyPtOpkfPbKcy,com.actgames.HelloKittyMDS,0.0,100.0,33.33,66.67
GxcsjyqnuJaI1DH7,com.actgames.HelloKittyMDS,0.0,100.0,33.33,66.67
HLqH4Rzog7633ILT,land.lifeoasis.maum,0.0,100.0,33.33,66.67
HRzTPMX4iwcj9Yqg,kr.kbsec.iplustar,0.0,100.0,33.33,66.67
He2g4tY5NqaVy8sk,com.adobe.lrmobilephone,0.0,100.0,63.43,96.77
HvOPpXc9ZxfAScgB,com.whoyaho.tanghulu,0.0,100.0,33.33,66.67
IIgy9STuVdx10auW,kr.co.33m2,0.0,100.0,33.33,66.67
Jg8ERhIyFWrPs5RW,kr.co.coinone.officialapp,0.0,100.0,33.33,66.67
Jji2pP9hSkhNn35v,com.healingpaper.GangnamSister,0.0,100.0,33.33,66.67
Jo0ocJMSHOhyN81u,,0.0,100.0,0.0,33.33
K5yaOdelKq9l0uFY,land.lifeoasis.maum,0.0,100.0,33.33,66.67
K6AOkU0ouW5CAydm,com.nexon.mod,0.0,100.0,33.33,66.67
LKZMc6fAnIiy71gp,kr.kbsec.iplustar,0.0,100.0,33.33,66.67
