hour_utc,date_utc,event_type,event_count
2026-03-24 00:00:00,2026-03-24,install,2
2026-03-24 01:00:00,2026-03-24,install,1
2026-03-24 02:00:00,2026-03-24,install,1
2026-03-24 04:00:00,2026-03-24,install,2
2026-03-24 05:00:00,2026-03-24,install,6
2026-03-24 07:00:00,2026-03-24,install,2
2026-03-25 01:00:00,2026-03-25,install,3
2026-03-25 02:00:00,2026-03-25,install,7
2026-03-25 03:00:00,2026-03-25,install,1
2026-03-25 04:00:00,2026-03-25,in_app,1
2026-03-25 04:00:00,2026-03-25,install,1
2026-03-25 05:00:00,2026-03-25,install,1
2026-03-25 06:00:00,2026-03-25,install,1
2026-03-25 08:00:00,2026-03-25,in_app,2
2026-03-25 08:00:00,2026-03-25,install,2
2026-03-25 09:00:00,2026-03-25,install,1
2026-03-25 10:00:00,2026-03-25,in_app,1
2026-03-25 10:00:00,2026-03-25,install,10
2026-03-25 11:00:00,2026-03-25,install,1
2026-03-25 12:00:00,2026-03-25,install,1
2026-03-25 14:00:00,2026-03-25,install,5
2026-03-25 15:00:00,2026-03-25,in_app,5
2026-03-25 15:00:00,2026-03-25,install,44
2026-03-25 16:00:00,2026-03-25,install,2
2026-03-26 01:00:00,2026-03-26,in_app,2
2026-03-26 03:00:00,2026-03-26,in_app,2106
2026-03-26 03:00:00,2026-03-26,install,24329
2026-03-26 04:00:00,2026-03-26,in_app,1538
2026-03-26 04:00:00,2026-03-26,install,8433
2026-03-26 05:00:00,2026-03-26,in_app,1324
2026-03-26 05:00:00,2026-03-26,install,8008
2026-03-26 06:00:00,2026-03-26,in_app,1023
2026-03-26 06:00:00,2026-03-26,install,6318
2026-03-26 07:00:00,2026-03-26,in_app,1024
2026-03-26 07:00:00,2026-03-26,install,6210
2026-03-26 08:00:00,2026-03-26,in_app,1104
2026-03-26 08:00:00,2026-03-26,install,5732
2026-03-26 09:00:00,2026-03-26,in_app,1257
2026-03-26 09:00:00,2026-03-26,install,7330
2026-03-26 10:00:00,2026-03-26,in_app,1661
2026-03-26 10:00:00,2026-03-26,install,8390
2026-03-26 11:00:00,2026-03-26,in_app,2980
2026-03-26 11:00:00,2026-03-26,install,10073
2026-03-26 12:00:00,2026-03-26,in_app,3441
2026-03-26 12:00:00,2026-03-26,install,9006
2026-03-26 13:00:00,2026-03-26,in_app,3579
2026-03-26 13:00:00,2026-03-26,install,8232
2026-03-26 14:00:00,2026-03-26,in_app,3960
2026-03-26 14:00:00,2026-03-26,install,7784
2026-03-26 15:00:00,2026-03-26,in_app,4187
2026-03-26 15:00:00,2026-03-26,install,7729
2026-03-26 16:00:00,2026-03-26,in_app,3944
2026-03-26 16:00:00,2026-03-26,install,6588
2026-03-26 17:00:00,2026-03-26,in_app,3528
2026-03-26 17:00:00,2026-03-26,install,5474
2026-03-26 18:00:00,2026-03-26,in_app,3891
2026-03-26 18:00:00,2026-03-26,install,5428
2026-03-26 19:00:00,2026-03-26,in_app,4628
2026-03-26 19:00:00,2026-03-26,install,6089
2026-03-26 20:00:00,2026-03-26,in_app,5239
2026-03-26 20:00:00,2026-03-26,install,6264
2026-03-26 21:00:00,2026-03-26,in_app,5249
2026-03-26 21:00:00,2026-03-26,install,6411
2026-03-26 22:00:00,2026-03-26,in_app,4887
2026-03-26 22:00:00,2026-03-26,install,6215
2026-03-26 23:00:00,2026-03-26,in_app,4691
2026-03-26 23:00:00,2026-03-26,install,5752
2026-03-27 00:00:00,2026-03-27,in_app,4623
2026-03-27 00:00:00,2026-03-27,install,4982
2026-03-27 01:00:00,2026-03-27,in_app,4292
2026-03-27 01:00:00,2026-03-27,install,4499
2026-03-27 02:00:00,2026-03-27,in_app,3470
2026-03-27 02:00:00,2026-03-27,install,3953
2026-03-27 03:00:00,2026-03-27,in_app,3053
2026-03-27 03:00:00,2026-03-27,install,3371
2026-03-27 04:00:00,2026-03-27,in_app,2540
2026-03-27 04:00:00,2026-03-27,install,2822
2026-03-27 05:00:00,2026-03-27,in_app,2243
2026-03-27 05:00:00,2026-03-27,install,2540
2026-03-27 06:00:00,2026-03-27,in_app,2056
2026-03-27 06:00:00,2026-03-27,install,2414
2026-03-27 07:00:00,2026-03-27,in_app,1812
2026-03-27 07:00:00,2026-03-27,install,2409
2026-03-27 08:00:00,2026-03-27,in_app,1741
2026-03-27 08:00:00,2026-03-27,install,2195
2026-03-27 09:00:00,2026-03-27,in_app,1620
2026-03-27 09:00:00,2026-03-27,install,2251
2026-03-27 10:00:00,2026-03-27,in_app,2178
2026-03-27 10:00:00,2026-03-27,install,2509
2026-03-27 11:00:00,2026-03-27,in_app,3302
2026-03-27 11:00:00,2026-03-27,install,3033
2026-03-27 12:00:00,2026-03-27,in_app,3409
2026-03-27 12:00:00,2026-03-27,install,3048
2026-03-27 13:00:00,2026-03-27,in_app,3356
2026-03-27 13:00:00,2026-03-27,install,3131
2026-03-27 14:00:00,2026-03-27,in_app,3516
2026-03-27 14:00:00,2026-03-27,install,3091
2026-03-27 15:00:00,2026-03-27,in_app,3670
2026-03-27 15:00:00,2026-03-27,install,3151
2026-03-27 16:00:00,2026-03-27,in_app,3373
