hour_utc,cnt
2026-03-23 06:00:00,1
2026-03-23 07:00:00,1
2026-03-23 11:00:00,1
2026-03-23 16:00:00,3
2026-03-23 18:00:00,2
2026-03-23 19:00:00,4
2026-03-23 20:00:00,1
2026-03-23 22:00:00,1
2026-03-24 04:00:00,1
2026-03-24 05:00:00,5
2026-03-25 01:00:00,3
2026-03-25 02:00:00,3
2026-03-25 03:00:00,1
2026-03-25 08:00:00,2
2026-03-25 10:00:00,3
2026-03-25 12:00:00,1
2026-03-25 14:00:00,1
2026-03-25 15:00:00,34
2026-03-25 16:00:00,2
2026-03-26 03:00:00,16336
2026-03-26 04:00:00,5523
2026-03-26 05:00:00,5211
2026-03-26 06:00:00,4074
2026-03-26 07:00:00,4102
2026-03-26 08:00:00,3773
2026-03-26 09:00:00,5102
2026-03-26 10:00:00,5527
2026-03-26 11:00:00,6796
2026-03-26 12:00:00,6105
2026-03-26 13:00:00,5499
2026-03-26 14:00:00,5079
2026-03-26 15:00:00,5086
2026-03-26 16:00:00,4056
2026-03-26 17:00:00,3246
2026-03-26 18:00:00,3237
2026-03-26 19:00:00,3518
2026-03-26 20:00:00,3578
2026-03-26 21:00:00,3685
2026-03-26 22:00:00,3705
2026-03-26 23:00:00,3561
