campaign,exchange,reason_order,reason,req_mil,pct
ttIK8j9coo7UMK9r,MOLOCO_SDK_MAX,120,campaign limiter,9705.0,8.37
Q6OdKwliixkg8XX3,MOLOCO_SDK_MAX,120,campaign limiter,6139.7,5.29
ttIK8j9coo7UMK9r,INMOBI,120,campaign limiter,6072.8,5.23
Q6OdKwliixkg8XX3,INMOBI,120,campaign limiter,5030.6,4.34
ttIK8j9coo7UMK9r,MOLOCO_SDK_MAX,305,"filter(bidfloor,pricing_model,threshold,pmp)",4528.3,3.9
ttIK8j9coo7UMK9r,VUNGLE,120,campaign limiter,4203.5,3.62
Q6OdKwliixkg8XX3,VUNGLE,120,campaign limiter,3846.3,3.32
ttIK8j9coo7UMK9r,VUNGLE,305,"filter(bidfloor,pricing_model,threshold,pmp)",3322.3,2.86
ttIK8j9coo7UMK9r,ADX_RTB,120,campaign limiter,3101.0,2.67
ttIK8j9coo7UMK9r,INMOBI,305,"filter(bidfloor,pricing_model,threshold,pmp)",2563.0,2.21
Q6OdKwliixkg8XX3,APPODEAL,120,campaign limiter,2415.4,2.08
Q6OdKwliixkg8XX3,ADX_RTB,120,campaign limiter,2216.0,1.91
ttIK8j9coo7UMK9r,FYBER,120,campaign limiter,2066.6,1.78
ttIK8j9coo7UMK9r,APPLOVIN,120,campaign limiter,2015.8,1.74
Q6OdKwliixkg8XX3,APPLOVIN,120,campaign limiter,1846.2,1.59
ttIK8j9coo7UMK9r,ADX_RTB,305,"filter(bidfloor,pricing_model,threshold,pmp)",1710.3,1.47
ttIK8j9coo7UMK9r,INMOBI,310,priced,1641.2,1.41
Q6OdKwliixkg8XX3,MOLOCO_SDK_MAX,305,"filter(bidfloor,pricing_model,threshold,pmp)",1526.4,1.32
Q6OdKwliixkg8XX3,INMOBI,305,"filter(bidfloor,pricing_model,threshold,pmp)",1518.6,1.31
ttIK8j9coo7UMK9r,APPODEAL,120,campaign limiter,1401.3,1.21
ttIK8j9coo7UMK9r,FIVE,120,campaign limiter,1363.6,1.18
Q6OdKwliixkg8XX3,VUNGLE,305,"filter(bidfloor,pricing_model,threshold,pmp)",1296.9,1.12
ttIK8j9coo7UMK9r,MOLOCO_SDK_ADMOB_MEDIATION,120,campaign limiter,1292.7,1.11
ttIK8j9coo7UMK9r,FYBER,305,"filter(bidfloor,pricing_model,threshold,pmp)",1280.7,1.1
ttIK8j9coo7UMK9r,IRONSOURCE,120,campaign limiter,1274.3,1.1
ttIK8j9coo7UMK9r,UNITY,120,campaign limiter,1208.1,1.04
Q6OdKwliixkg8XX3,IRONSOURCE,120,campaign limiter,1194.9,1.03
Q6OdKwliixkg8XX3,UNITY,120,campaign limiter,1188.2,1.02
Q6OdKwliixkg8XX3,FYBER,120,campaign limiter,1154.3,0.99
Q6OdKwliixkg8XX3,MAGNITE,120,campaign limiter,1120.0,0.97
ttIK8j9coo7UMK9r,PUBMATIC,120,campaign limiter,1100.8,0.95
Q6OdKwliixkg8XX3,INMOBI,310,priced,1003.8,0.87
ttIK8j9coo7UMK9r,MAGNITE,120,campaign limiter,881.8,0.76
ttIK8j9coo7UMK9r,MOLOCO_SDK_ADMOB_MEDIATION,305,"filter(bidfloor,pricing_model,threshold,pmp)",880.0,0.76
ttIK8j9coo7UMK9r,IRONSOURCE,305,"filter(bidfloor,pricing_model,threshold,pmp)",872.8,0.75
onLf8YMrzBKrT80y,KAKAO,060,no compatible creatives,865.1,0.75
Q6OdKwliixkg8XX3,PUBMATIC,120,campaign limiter,850.6,0.73
Q6OdKwliixkg8XX3,VUNGLE,045,blocked advertiser or app,841.4,0.73
ttIK8j9coo7UMK9r,MOLOCO_SDK_MAX,310,priced,841.3,0.73
ttIK8j9coo7UMK9r,APPLOVIN,305,"filter(bidfloor,pricing_model,threshold,pmp)",816.0,0.7
ttIK8j9coo7UMK9r,UNITY,305,"filter(bidfloor,pricing_model,threshold,pmp)",684.3,0.59
Q6OdKwliixkg8XX3,TABOOLA,120,campaign limiter,663.2,0.57
ttIK8j9coo7UMK9r,VUNGLE,014,throttled by extended loss based throttler,655.9,0.57
Q6OdKwliixkg8XX3,APPODEAL,305,"filter(bidfloor,pricing_model,threshold,pmp)",642.1,0.55
Q6OdKwliixkg8XX3,ADX_RTB,305,"filter(bidfloor,pricing_model,threshold,pmp)",638.5,0.55
Q6OdKwliixkg8XX3,FYBER,305,"filter(bidfloor,pricing_model,threshold,pmp)",628.8,0.54
ttIK8j9coo7UMK9r,APX1,310,priced,620.4,0.53
Q6OdKwliixkg8XX3,MOLOCO_SDK_ADMOB_MEDIATION,120,campaign limiter,616.6,0.53
Q6OdKwliixkg8XX3,TABOOLA,305,"filter(bidfloor,pricing_model,threshold,pmp)",598.2,0.52
ttIK8j9coo7UMK9r,APS,120,campaign limiter,588.1,0.51
Q6OdKwliixkg8XX3,APPLOVIN,305,"filter(bidfloor,pricing_model,threshold,pmp)",568.2,0.49
ttIK8j9coo7UMK9r,INDEX,055,(campaign) Req,526.2,0.45
Q6OdKwliixkg8XX3,UNITY,305,"filter(bidfloor,pricing_model,threshold,pmp)",515.4,0.44
ttIK8j9coo7UMK9r,APPODEAL,305,"filter(bidfloor,pricing_model,threshold,pmp)",510.0,0.44
Q6OdKwliixkg8XX3,MOLOCO_SDK_MAX,310,priced,509.5,0.44
Q6OdKwliixkg8XX3,IRONSOURCE,305,"filter(bidfloor,pricing_model,threshold,pmp)",508.2,0.44
onLf8YMrzBKrT80y,MOLOCO_SDK_MAX,120,campaign limiter,484.1,0.42
Q6OdKwliixkg8XX3,VUNGLE,040,category_blocked,482.5,0.42
ttIK8j9coo7UMK9r,MAGNITE,305,"filter(bidfloor,pricing_model,threshold,pmp)",461.2,0.4
Q6OdKwliixkg8XX3,APS,120,campaign limiter,456.8,0.39
Q6OdKwliixkg8XX3,INMOBI,040,category_blocked,443.8,0.38
Q6OdKwliixkg8XX3,INDEX,055,(campaign) Req,441.9,0.38
ttIK8j9coo7UMK9r,VUNGLE,045,blocked advertiser or app,423.2,0.36
ttIK8j9coo7UMK9r,APPLOVIN,310,priced,378.6,0.33
onLf8YMrzBKrT80y,INMOBI,120,campaign limiter,375.7,0.32
ttIK8j9coo7UMK9r,NIMBUS,120,campaign limiter,354.9,0.31
Q6OdKwliixkg8XX3,MAGNITE,305,"filter(bidfloor,pricing_model,threshold,pmp)",326.0,0.28
Q6OdKwliixkg8XX3,MOLOCO_SDK_MAX,236,avoided pricing (per cr_format) with limits,304.5,0.26
ttIK8j9coo7UMK9r,INMOBI,040,category_blocked,301.4,0.26
ttIK8j9coo7UMK9r,UNITY,310,priced,300.7,0.26
Q6OdKwliixkg8XX3,APPLOVIN,310,priced,293.1,0.25
ttIK8j9coo7UMK9r,ADX_RTB,310,priced,267.5,0.23
onLf8YMrzBKrT80y,ADX_RTB,120,campaign limiter,258.4,0.22
Q6OdKwliixkg8XX3,APPLOVIN,236,avoided pricing (per cr_format) with limits,252.0,0.22
ttIK8j9coo7UMK9r,FIVE,305,"filter(bidfloor,pricing_model,threshold,pmp)",239.2,0.21
onLf8YMrzBKrT80y,KAKAO,040,category_blocked,226.3,0.2
Q6OdKwliixkg8XX3,INMOBI,100,imp/bid capper,225.3,0.19
Q6OdKwliixkg8XX3,NIMBUS,120,campaign limiter,225.1,0.19
ttIK8j9coo7UMK9r,MOLOCO_SDK_MAX,100,imp/bid capper,224.7,0.19
ttIK8j9coo7UMK9r,PUBMATIC,305,"filter(bidfloor,pricing_model,threshold,pmp)",224.3,0.19
ttIK8j9coo7UMK9r,VUNGLE,310,priced,211.8,0.18
Q6OdKwliixkg8XX3,UNITY,310,priced,206.1,0.18
ttIK8j9coo7UMK9r,MOLOCO_SDK_MAX,236,avoided pricing (per cr_format) with limits,205.7,0.18
onLf8YMrzBKrT80y,APPLOVIN,120,campaign limiter,199.1,0.17
Q6OdKwliixkg8XX3,PUBMATIC,305,"filter(bidfloor,pricing_model,threshold,pmp)",195.9,0.17
Q6OdKwliixkg8XX3,VUNGLE,236,avoided pricing (per cr_format) with limits,191.8,0.17
Q6OdKwliixkg8XX3,MOLOCO_SDK_ADMOB_MEDIATION,305,"filter(bidfloor,pricing_model,threshold,pmp)",191.3,0.16
Q6OdKwliixkg8XX3,VUNGLE,310,priced,187.4,0.16
onLf8YMrzBKrT80y,VUNGLE,120,campaign limiter,186.4,0.16
Q6OdKwliixkg8XX3,MOLOCO_SDK_MAX,100,imp/bid capper,183.4,0.16
Q6OdKwliixkg8XX3,APPODEAL,310,priced,166.5,0.14
ttIK8j9coo7UMK9r,FYBER,014,throttled by extended loss based throttler,166.1,0.14
ttIK8j9coo7UMK9r,INMOBI,100,imp/bid capper,162.8,0.14
Q6OdKwliixkg8XX3,INMOBI,236,avoided pricing (per cr_format) with limits,158.4,0.14
Q6OdKwliixkg8XX3,ADX_RTB,310,priced,152.7,0.13
Q6OdKwliixkg8XX3,MOLOCO_SDK_IN_HOUSE_MEDIATION,120,campaign limiter,146.6,0.13
ttIK8j9coo7UMK9r,APS,305,"filter(bidfloor,pricing_model,threshold,pmp)",143.4,0.12
ttIK8j9coo7UMK9r,APPLOVIN,236,avoided pricing (per cr_format) with limits,142.7,0.12
ttIK8j9coo7UMK9r,ADGENERATION,120,campaign limiter,137.7,0.12
ttIK8j9coo7UMK9r,TABOOLA,120,campaign limiter,135.3,0.12
ttIK8j9coo7UMK9r,VUNGLE,236,avoided pricing (per cr_format) with limits,134.8,0.12
ttIK8j9coo7UMK9r,APX1,300,no creative candidates,130.6,0.11
Q6OdKwliixkg8XX3,ADX_RTB,040,category_blocked,129.9,0.11
ttIK8j9coo7UMK9r,ADX_RTB,002,no available deal between bidrequest and campaign,126.2,0.11
ttIK8j9coo7UMK9r,APX1,120,campaign limiter,126.0,0.11
ttIK8j9coo7UMK9r,APPODEAL,310,priced,122.4,0.11
Q6OdKwliixkg8XX3,APS,305,"filter(bidfloor,pricing_model,threshold,pmp)",118.7,0.1
Q6OdKwliixkg8XX3,PUBMATIC,040,category_blocked,118.5,0.1
onLf8YMrzBKrT80y,FYBER,120,campaign limiter,110.2,0.09
Q6OdKwliixkg8XX3,VUNGLE,100,imp/bid capper,106.5,0.09
ttIK8j9coo7UMK9r,MOLOCO_SDK_IN_HOUSE_MEDIATION,305,"filter(bidfloor,pricing_model,threshold,pmp)",106.0,0.09
ttIK8j9coo7UMK9r,ADX_RTB,040,category_blocked,104.8,0.09
ttIK8j9coo7UMK9r,NIMBUS,305,"filter(bidfloor,pricing_model,threshold,pmp)",99.8,0.09
onLf8YMrzBKrT80y,INMOBI,305,"filter(bidfloor,pricing_model,threshold,pmp)",95.8,0.08
onLf8YMrzBKrT80y,MOLOCO_SDK_MAX,305,"filter(bidfloor,pricing_model,threshold,pmp)",93.5,0.08
ttIK8j9coo7UMK9r,MOLOCO_SDK_LEVELPLAY,120,campaign limiter,90.7,0.08
Q6OdKwliixkg8XX3,UNITY,236,avoided pricing (per cr_format) with limits,90.3,0.08
