mmp_bundle_id,os,device_model,osv,login_rate_pct,median_install_to_login_min,p75_install_to_login_min
id1470173983,IOS,iPhone16Pro,18.5,50.0,16.0,29.0
id1470173983,IOS,iPad,17.5.1,60.0,34.0,108.0
id1470173983,IOS,"iPhone14,5",26.2.1,63.6,29.0,94.0
id1470173983,IOS,"iPhone15,2",18.6.2,68.8,17.0,40.0
id1470173983,IOS,iPhone17,26.1,70.0,12.0,43.0
id1470173983,IOS,"iPhone15,4",18.6.2,70.0,21.0,28.0
id1470173983,IOS,iPhone16Pro,26.1,70.0,33.0,209.0
id1470173983,IOS,"iPhone14,8",26.3,71.4,21.0,74.0
id1470173983,IOS,"iPhone13,2",26.3,72.7,21.0,82.0
id1470173983,IOS,"iPhone14,2",18.6.2,72.7,75.0,95.0
id1470173983,IOS,"iPhone16,1",26.2.1,74.2,17.0,29.0
id1470173983,IOS,"iPhone14,2",26.2.1,75.0,12.0,19.0
id1470173983,IOS,"iPhone14,5",26.3.1,75.0,16.0,125.0
id1470173983,IOS,"iPhone15,4",26.3,75.8,17.0,47.0
id1470173983,IOS,"iPhone15,2",26.2.1,76.2,21.0,74.0
id1470173983,IOS,iPhone16Pro,18.6.2,76.2,18.0,22.0
id1470173983,IOS,"iPhone14,5",26.3,76.3,13.0,62.0
id1470173983,IOS,"iPhone16,1",18.6.2,76.9,11.0,60.0
id1470173983,IOS,"iPhone14,7",26.3,77.3,14.0,38.0
id1470173983,IOS,iPhone,26.2.1,78.3,15.0,43.0
id1470173983,IOS,"iPhone15,2",26.2,78.6,19.0,70.0
id1470173983,IOS,"iPhone14,4",26.3.1,78.9,14.0,28.0
id1470173983,IOS,iPhone,18.5,80.0,18.0,41.0
id1470173983,IOS,"iPhone14,5",18.6.2,80.0,32.0,736.0
id1470173983,IOS,iPad,18.6.2,81.6,15.0,26.0
id1470173983,IOS,"iPhone16,1",18.5,81.8,23.0,78.0
id1470173983,IOS,"iPhone13,3",26.3,82.8,41.0,106.0
id1470173983,IOS,"iPhone14,4",26.3,82.9,16.0,28.0
id1470173983,IOS,"iPhone13,1",26.3.1,83.3,14.0,51.0
id1470173983,IOS,iPhone17Pro,26.2.1,83.3,14.0,38.0
id1470173983,IOS,iPhone16ProMax,26.2.1,84.2,11.0,75.0
id1470173983,IOS,iPhone16,26.2,84.6,15.0,25.0
id1470173983,IOS,"iPhone14,7",18.6.2,84.6,34.0,253.0
id1470173983,IOS,"iPhone16,1",26.2,84.6,13.0,24.0
id1470173983,IOS,iPhone17ProMax,26.3,84.7,11.0,21.0
id1470173983,IOS,iPad,26.2.1,85.0,20.0,54.0
id1470173983,IOS,iPhone16,26.2.1,85.0,12.0,21.0
id1470173983,IOS,"iPhone15,3",26.3.1,85.0,13.0,24.0
id1470173983,IOS,iPhone17ProMax,26.3.1,85.1,12.0,41.0
id1470173983,IOS,"iPhone15,2",26.3,85.4,11.0,45.0
id1470173983,IOS,iPhone16,26.3,85.4,15.0,36.0
id1470173983,IOS,"iPhone13,4",26.3,85.7,19.0,41.0
id1470173983,IOS,iPhone,26.3.1,85.7,11.0,20.0
id1470173983,IOS,iPad,26.4,85.7,26.0,158.0
id1470173983,IOS,iPhone16ProMax,26.2,85.7,30.0,86.0
id1470173983,IOS,"iPhone14,2",26.3,86.0,12.0,30.0
id1470173983,IOS,iPhone,26.3,86.1,14.0,38.0
id1470173983,IOS,iPhone17Pro,26.2,86.2,17.0,35.0
id1470173983,IOS,iPhone16Pro,26.3,86.3,11.0,38.0
id1470173983,IOS,iPhone17Pro,26.1,86.7,12.0,21.0
id1470173983,IOS,"iPhone15,3",26.3,87.2,15.0,35.0
id1470173983,IOS,iPhone,26.2,87.5,14.0,28.0
id1470173983,IOS,"iPhone15,2",26.3.1,87.9,17.0,48.0
id1470173983,IOS,iPhone16Pro,26.2.1,87.9,14.0,28.0
id1470173983,IOS,"iPhone16,1",26.3,87.9,13.0,33.0
id1470173983,IOS,iPhone17,26.3.1,88.6,14.0,34.0
id1470173983,IOS,iPad,26.3,88.9,15.0,37.0
id1470173983,IOS,iPhone16ProMax,26.3,88.9,13.0,24.0
id1470173983,IOS,iPhone,26.4,88.9,25.0,139.0
id1470173983,IOS,iPhone17Pro,26.3.1,89.6,14.0,29.0
id1470173983,IOS,iPad,26.3.1,89.7,17.0,42.0
id1470173983,IOS,iPhone,18.6.2,90.0,26.0,55.0
id1470173983,IOS,iPad,18.3.2,90.0,16.0,49.0
id1470173983,IOS,iPhone16,18.6.2,90.0,15.0,34.0
id1470173983,IOS,"iPhone14,3",26.3.1,90.0,18.0,150.0
id1470173983,IOS,"iPhone14,2",26.3.1,90.6,11.0,31.0
id1470173983,IOS,iPhone17,26.3,90.6,11.0,21.0
id1470173983,IOS,"iPhone16,1",26.3.1,90.8,16.0,43.0
